;Gender;Age;Date_of_birth;Nationality;Municipality;Canton;Salary;Social_matricule;Ethnicity;hair_color;hair_lenght;First_name;Surname
235;M;32;19911213;Italy;Flaxweiler;Canton Grevenmacher;3266.0;199112131667*;white;blond;medium;Leopoldo;Beffa
236;F;73;19500414;Luxembourg;Mersch;Canton Mersch;0.0;195004141862*;latino;gray;medium;Carine;Carlier
237;F;33;19900314;Luxembourg;Sanem;Canton Esch;10142.0;199003142271*;latino;blond;medium;Sandy;Moons
238;M;61;19620204;Luxembourg;Luxembourg;Canton Luxembourg;8960.0;196202042328*;latino;gray;short;Yves;Foucher
239;M;65;19580509;India;Sanem;Canton Esch;0.0;195805094215*;south asians;black;long;Pari;Bala
240;M;61;19620507;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;196205075009*;black;brown;long;Wim;Texier
241;M;62;19610808;Germany;Luxembourg;Canton Luxembourg;6960.0;196108085649*;white;black;short;Oliver;Junitz
242;M;22;20010405;Luxembourg;Ettelbruck;Canton Diekirch;1862.0;200104055488*;white;black;short;Marcel;Boone
243;M;40;19830513;Luxembourg;Luxembourg;Canton Luxembourg;7460.0;198305136481*;white;red;long;Étienne;Dillen
244;F;43;19800717;France;Vallée de l'Ernz;Canton Diekirch;3097.0;198007174285*;black;black;short;Laure;Grenier
245;M;62;19610621;Portugal;Pétange;Canton Esch;4028.0;196106217674*;white;brown;short;Kévim;Borges
246;M;60;19630607;Portugal;Differdange;Canton Esch;3468.0;196306070094*;white;brown;medium;Noah;Matias
247;M;18;20051217;Luxembourg;Esch-sur-Alzette;Canton Esch;7303.0;200512173198*;white;red;medium;Benny;Hanssens
248;F;19;20041010;France;Dippach;Canton Capellen;10666.0;200410101603*;black;black;short;Valentine;Torres
249;F;58;19650119;Portugal;Walferdange;Canton Luxembourg;6145.0;196501196263*;white;gray;medium;Núria;Pinto
250;M;28;19950122;Luxembourg;Walferdange;Canton Luxembourg;7645.0;199501223478*;white;gray;medium;Franciscus;Neirynck
251;F;73;19500422;Luxembourg;Pétange;Canton Esch;0.0;195004226177*;white;gray;long;Michelle;Snauwaert
252;M;54;19690510;Portugal;Mersch;Canton Mersch;10055.0;196905108449*;white;blond;medium;Cláudio;Borges
253;M;34;19890714;Luxembourg;Luxembourg;Canton Luxembourg;4460.0;198907149649*;black;black;long;Jasper;Lemmens
254;F;77;19461203;Portugal;Luxembourg;Canton Luxembourg;0.0;194612038046*;white;gray;short;Petra;Pinheiro
255;M;33;19901106;Luxembourg;Dalheim;Canton Remich;1040.0;199011062173*;latino;brown;short;Julien;Peeters
256;M;65;19580917;Portugal;Schengen;Canton Remich;0.0;195809178184*;white;blond;medium;Diego;Marques
257;F;42;19810404;France;Strassen;Canton Luxembourg;7087.0;198104041011*;black;gray;medium;Valérie;Étienne
258;M;39;19840227;Luxembourg;Diekirch;Canton Diekirch;1890.0;198402276260*;white;brown;short;Johan;Aubry
259;F;32;19911109;Portugal;Pétange;Canton Esch;2528.0;199111091191*;white;black;short;Margarida;Marques
260;M;81;19420920;France;Roeser;Canton Esch;0.0;194209208534*;black;gray;short;Gilbert;Launay
261;M;41;19820123;Luxembourg;Esch-sur-Alzette;Canton Esch;1803.0;198201234446*;white;black;medium;Raymond;Guyot
262;F;76;19470214;Portugal;Esch-sur-Alzette;Canton Esch;0.0;194702144889*;white;black;medium;Clara;Cardoso
263;M;55;19681010;Spain;Betzdorf;Canton Grevenmacher;4125.0;196810105974*;white;gray;long;Albino;Iglesias
264;F;74;19490718;Italy;Esch-sur-Alzette;Canton Esch;0.0;194907181295*;white;gray;short;Fernanda;Mengolo
265;F;95;19281023;Luxembourg;Esch-sur-Alzette;Canton Esch;0.0;192810237732*;white;gray;short;Daisy;De Oliveira
266;M;25;19980818;Luxembourg;Dudelange;Canton Esch;2453.0;199808183852*;white;blond;medium;Honoré;Guillot
267;M;68;19550829;Portugal;Junglinster;Canton Grevenmacher;0.0;195508292483*;white;gray;long;Leandro;Santos
268;F;66;19570731;Luxembourg;Käerjeng;Canton Capellen;0.0;195707319089*;white;black;long;Isabelle;Boyer
269;M;19;20041012;Luxembourg;Dippach;Canton Capellen;1166.0;200410124903*;white;brown;medium;Johnny;Bègue
270;M;22;20010420;Belgium;Luxembourg;Canton Luxembourg;4960.0;200104208834*;white;blond;short;Mehdi;Vanderstraeten
271;M;69;19540822;France;Esch-sur-Alzette;Canton Esch;0.0;195408223737*;white;black;short;Étienne;Legros
272;F;39;19840920;Luxembourg;Differdange;Canton Esch;1468.0;198409204255*;white;black;long;Iris;De Bie
273;F;66;19570128;Luxembourg;Beckerich;Canton Redange;0.0;195701286179*;black;gray;medium;Alexandrie;Huysmans
274;F;53;19700801;Luxembourg;Steinfort;Canton Capellen;12157.0;197008017001*;white;black;medium;Alexandrie;Demuynck
275;F;27;19961004;Luxembourg;Hesperange;Canton Luxembourg;5154.0;199610048022*;white;brown;long;Patricia;Stas
276;F;54;19690504;Luxembourg;Luxembourg;Canton Luxembourg;3460.0;196905047400*;latino;black;medium;Kelly;Maurice
277;F;86;19370109;Ukraine;Grevenmacher;Canton Grevenmacher;0.0;193701096481*;white;gray;medium;Михайлина;Яремко
278;F;72;19511005;Luxembourg;Schifflange;Canton Esch;0.0;195110059108*;white;gray;long;Louisa;D'Hondt
279;F;21;20020813;Luxembourg;Flaxweiler;Canton Grevenmacher;1766.0;200208131262*;white;brown;long;Amber;Gérard
280;M;52;19710429;Luxembourg;Steinsel;Canton Luxembourg;3060.0;197104298966*;white;black;medium;Olivier;Peeters
281;F;63;19600906;Luxembourg;Luxembourg;Canton Luxembourg;10460.0;196009069121*;white;gray;short;Marianne;Salmon
282;F;22;20011021;Luxembourg;Luxembourg;Canton Luxembourg;7960.0;200110211150*;white;brown;short;Claude;Carlier
283;M;54;19691212;Portugal;Dalheim;Canton Remich;2540.0;196912122803*;white;gray;short;Gil;Marques
284;M;57;19660519;Luxembourg;Esch-sur-Alzette;Canton Esch;7803.0;196605192214*;white;brown;short;Lucas;Callens
285;M;41;19820311;Portugal;Dudelange;Canton Esch;2953.0;198203116287*;white;black;short;Vítor;Esteves
286;M;37;19861027;Portugal;Luxembourg;Canton Luxembourg;5960.0;198610272639*;white;black;long;Rodrigo;Barbosa
287;M;77;19461202;Luxembourg;Echternach;Canton Echternach;0.0;194612020271*;white;gray;long;Richard;Leysen
288;M;37;19860806;Luxembourg;Luxembourg;Canton Luxembourg;26960.0;198608063424*;white;blond;medium;Éric;Diaz
289;F;59;19641222;France;Kopstal;Canton Capellen;16892.0;196412226094*;white;gray;medium;Alix;François
290;M;27;19960810;Luxembourg;Luxembourg;Canton Luxembourg;1460.0;199608101295*;white;brown;short;Stijn;Hermans
291;F;36;19870924;Luxembourg;Esch-sur-Alzette;Canton Esch;2303.0;198709242063*;white;brown;medium;Clémence;Dupré
292;M;38;19850408;Portugal;Larochette;Canton Mersch;951.0;198504083336*;white;black;short;Mauro;Cunha
293;M;70;19530516;Luxembourg;Habscht;Canton Capellen;0.0;195305162719*;latino;black;medium;Fernand;Lopez
294;F;68;19550805;Luxembourg;Sanem;Canton Esch;0.0;195508059402*;white;gray;long;Clémence;De Wachter
295;F;20;20031105;Portugal;Hesperange;Canton Luxembourg;8154.0;200311052641*;white;black;medium;Petra;Esteves
296;F;51;19721204;Luxembourg;Wiltz;Canton Wiltz;5833.0;197212047082*;white;red;long;Jeannine;Lévêque
297;M;18;20050512;Luxembourg;Bertrange;Canton Luxembourg;15587.0;200505120239*;white;red;medium;Anas;De Decker
298;F;18;20050719;Portugal;Weiswampach;Canton Clervaux;3012.0;200507190013*;white;brown;short;Bruna;Barbosa
299;M;22;20011207;Sweden;Differdange;Canton Esch;4468.0;200112077740*;white;red;long;Oscar;Nilsson
300;F;43;19800816;Luxembourg;Kehlen;Canton Capellen;4707.0;198008165636*;latino;black;short;Jade;Delaunay
301;F;60;19631122;Luxembourg;Mamer;Canton Capellen;6201.0;196311222392*;white;gray;medium;Katrien;Celis
302;F;52;19710130;Belgium;Esch-sur-Sûre;Canton Wiltz;6024.0;197101303776*;white;black;short;Mathilde;Meersman
303;M;74;19490705;Luxembourg;Hesperange;Canton Luxembourg;0.0;194907056948*;black;gray;long;Eddy;De Bruyn
304;M;64;19591029;Portugal;Clervaux;Canton Clervaux;3979.0;195910294163*;white;gray;medium;Ismael;Jesus
305;F;59;19640918;Luxembourg;Bertrange;Canton Luxembourg;1087.0;196409181608*;latino;brown;medium;Noa;Lelièvre
306;M;26;19970612;Luxembourg;Mamer;Canton Capellen;16201.0;199706125248*;white;black;long;Rayan;Guibert
307;F;57;19661024;Luxembourg;Lintgen;Canton Mersch;2616.0;196610240518*;black;brown;short;Laetitia;Weber
308;M;46;19771106;Luxembourg;Luxembourg;Canton Luxembourg;960.0;197711069829*;white;red;short;David;Geerts
309;M;49;19740412;Belgium;Bettembourg;Canton Esch;4596.0;197404128694*;white;brown;long;Niels;Verhelst
310;M;49;19741129;Luxembourg;Ettelbruck;Canton Diekirch;7362.0;197411296300*;white;black;short;Johan;Techer
311;M;21;20020905;Luxembourg;Frisange;Canton Esch;10628.0;200209054938*;white;blond;short;Kevin;Desmet
312;F;35;19880123;Luxembourg;Käerjeng;Canton Capellen;8141.0;198801234788*;latino;gray;medium;Nicole;Hoarau
313;M;79;19440402;Luxembourg;Luxembourg;Canton Luxembourg;0.0;194404021100*;white;gray;long;Daniel;Bertrand
314;F;34;19891213;Luxembourg;Mondercange;Canton Esch;4080.0;198912134765*;white;brown;short;Hélène;Rousset
315;F;36;19871212;Portugal;Kopstal;Canton Capellen;4392.0;198712128631*;white;brown;long;Carolina;Nunes
316;F;60;19630204;Luxembourg;Rambrouch;Canton Redange;4546.0;196302043739*;white;gray;medium;Hilde;Pichon
317;F;63;19600902;United Kingdom;Esch-sur-Alzette;Canton Esch;3303.0;196009029441*;white;brown;medium;Yolanda;Thompson
318;M;58;19650618;Ukraine;Rambrouch;Canton Redange;5046.0;196506185819*;white;gray;long;Нестор;Рябченко
319;F;42;19810816;Luxembourg;Pétange;Canton Esch;5028.0;198108167187*;white;black;short;Liliane;Morin
320;M;40;19831207;Luxembourg;Dudelange;Canton Esch;1953.0;198312078737*;white;red;long;Emile;Demeyere
321;F;63;19600329;Ukraine;Bertrange;Canton Luxembourg;6587.0;196003295815*;white;gray;long;Ліза;Ванченко
322;M;24;19990717;Sweden;Hesperange;Canton Luxembourg;6154.0;199907177807*;white;red;long;Kjell;Franzén
323;F;84;19390101;Portugal;Mondorf-les-Bains;Canton Remich;0.0;193901015500*;white;gray;medium;Luísa;Paiva
324;M;31;19921220;Luxembourg;Wincrange;Canton Clervaux;10532.0;199212205376*;white;gray;long;Éric;Texier
325;M;47;19760909;Luxembourg;Luxembourg;Canton Luxembourg;20460.0;197609099468*;latino;brown;short;Julien;Van Looveren
326;M;30;19930520;Luxembourg;Luxembourg;Canton Luxembourg;1960.0;199305204303*;black;gray;medium;Jules;Da Costa
327;M;19;20040425;Luxembourg;Erpeldange-sur-Sûre;Canton Diekirch;6645.0;200404256497*;latino;red;long;Martin;Thys
328;F;61;19620412;Luxembourg;Bettembourg;Canton Esch;4096.0;196204127518*;white;black;medium;Marine;Grondin
329;M;60;19630316;Luxembourg;Echternach;Canton Echternach;4223.0;196303165803*;white;black;short;Étienne;Ooms
330;M;34;19890823;Portugal;Luxembourg;Canton Luxembourg;7460.0;198908236445*;white;black;short;André;Correia
331;F;46;19770122;Luxembourg;Walferdange;Canton Luxembourg;4145.0;197701224198*;white;gray;medium;Nancy;De Cuyper
332;M;44;19790824;Belgium;Strassen;Canton Luxembourg;10587.0;197908242514*;white;gray;medium;Henri;Janssen
333;M;55;19681203;Luxembourg;Luxembourg;Canton Luxembourg;9960.0;196812036317*;white;blond;long;Jozef;Lesage
334;M;54;19690428;Luxembourg;Dudelange;Canton Esch;3453.0;196904281845*;white;red;medium;Xavier;Gielen
335;M;43;19801218;Ukraine;Lac de la Haute-Sûre;Canton Wiltz;4542.0;198012185108*;white;gray;short;Опанас;Овсієнко
336;F;56;19670326;Luxembourg;Grevenmacher;Canton Grevenmacher;3361.0;196703265316*;latino;brown;medium;Margaud;De Clercq
337;F;59;19640426;Luxembourg;Steinsel;Canton Luxembourg;4060.0;196404263108*;white;gray;long;Marlies;Verheyen
338;F;39;19840219;Luxembourg;Kayl;Canton Esch;8616.0;198402193843*;white;brown;short;Huguette;Van Dessel
339;F;36;19870318;Belgium;Schifflange;Canton Esch;1042.0;198703188071*;white;gray;medium;Carine;Roels
340;M;45;19780831;Belgium;Strassen;Canton Luxembourg;11087.0;197808317644*;white;red;medium;Finn;Pieters
341;F;87;19360715;Luxembourg;Luxembourg;Canton Luxembourg;0.0;193607155990*;white;gray;long;Amélie;Daniel
342;F;64;19591030;Brazil;Luxembourg;Canton Luxembourg;2960.0;195910300744*;latino;blond;long;Daniela;Moreira
343;M;66;19570125;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195701259154*;latino;gray;medium;Ryan;Malfait
344;F;66;19571124;Luxembourg;Waldbillig;Canton Echternach;0.0;195711244419*;white;blond;long;Rosalie;De Backer
345;F;80;19430708;Luxembourg;Luxembourg;Canton Luxembourg;0.0;194307081387*;white;gray;long;Amélie;Geerts
346;M;60;19630105;Luxembourg;Luxembourg;Canton Luxembourg;2460.0;196301053625*;white;gray;medium;Dennis;Jourdan
347;M;49;19741202;Luxembourg;Mondorf-les-Bains;Canton Remich;884.0;197412023944*;white;gray;medium;Georges;Op de Beeck
348;F;67;19560201;Portugal;Koerich;Canton Capellen;0.0;195602017095*;white;gray;long;Raquel;Azevedo
349;M;30;19930420;Luxembourg;Schieren;Canton Diekirch;2219.0;199304209647*;latino;gray;medium;Auguste;De Coster
350;F;42;19810601;Luxembourg;Differdange;Canton Esch;3968.0;198106017692*;latino;black;medium;Amélie;Vermeersch
351;M;60;19631028;Portugal;Flaxweiler;Canton Grevenmacher;2266.0;196310284148*;white;gray;short;António;Pinho
352;M;72;19510106;Luxembourg;Reckange-sur-Mess;Canton Esch;0.0;195101069509*;latino;gray;long;Auguste;Vandecasteele
353;F;44;19790815;France;Walferdange;Canton Luxembourg;6645.0;197908150855*;white;gray;short;Anastasie;Faure
354;M;58;19651020;Luxembourg;Differdange;Canton Esch;1968.0;196510205506*;latino;black;short;Nicolas;Barthelemy
355;M;36;19870519;Luxembourg;Rosport-Mompach;Canton Echternach;1096.0;198705196615*;white;black;medium;Nicolas;Joseph
356;F;64;19590526;Luxembourg;Luxembourg;Canton Luxembourg;6460.0;195905261216*;white;gray;long;Anne;Simon
357;F;53;19701122;Portugal;Parc Hosingen;Canton Clervaux;5585.0;197011229369*;white;brown;medium;Joana;Brito
358;F;55;19680520;Portugal;Junglinster;Canton Grevenmacher;1244.0;196805200725*;white;gray;medium;Vera;Fernandes
359;F;60;19630913;Italy;Schifflange;Canton Esch;2042.0;196309138520*;white;brown;medium;Cecilia;Mimun
360;F;63;19600907;Luxembourg;Steinsel;Canton Luxembourg;4060.0;196009076078*;white;black;short;Valérie;Imbert
361;M;58;19650309;Netherlands;Erpeldange-sur-Sûre;Canton Diekirch;3145.0;196503099265*;white;black;medium;Pepijn;van den Velde
362;M;80;19431111;Belgium;Roeser;Canton Esch;0.0;194311110458*;white;gray;long;Gust;Claeys
363;F;42;19811110;Luxembourg;Hesperange;Canton Luxembourg;9154.0;198111102703*;white;gray;long;Colette;Gosselin
364;F;27;19960221;Luxembourg;Rumelange;Canton Esch;3904.0;199602210289*;white;red;long;Éléonore;Vandevelde
365;M;48;19750425;Luxembourg;Frisange;Canton Esch;5128.0;197504256329*;white;black;long;Luca;Colpaert
366;M;26;19970914;Italy;Steinsel;Canton Luxembourg;9560.0;199709141396*;white;black;long;Dino;Comboni
367;M;35;19880723;Luxembourg;Niederanven;Canton Luxembourg;5455.0;198807234661*;white;gray;short;Arthur;Bazin
368;F;61;19620423;Luxembourg;Roeser;Canton Esch;2132.0;196204234275*;white;black;medium;Valerie;Pierre
369;F;22;20010930;Luxembourg;Luxembourg;Canton Luxembourg;2960.0;200109303161*;white;red;medium;Tanja;Van Loo
370;M;56;19670108;Luxembourg;Lenningen;Canton Remich;2568.0;196701085425*;white;black;medium;Jules;Everaert
371;M;53;19701224;Portugal;Sanem;Canton Esch;2642.0;197012241993*;white;black;short;António;Pinheiro
372;F;35;19880709;Luxembourg;Schifflange;Canton Esch;3042.0;198807090053*;white;gray;medium;Caroline;Verhoeven
373;F;39;19840429;Luxembourg;Pétange;Canton Esch;3028.0;198404298784*;white;gray;short;Alice;Van Assche
374;M;18;20050928;Luxembourg;Walferdange;Canton Luxembourg;2145.0;200509286409*;latino;blond;long;Gérard;Pereira
375;M;55;19680211;Belgium;Luxembourg;Canton Luxembourg;7960.0;196802118821*;white;gray;medium;Samuel;Degroote
376;F;55;19680121;Portugal;Differdange;Canton Esch;5468.0;196801213293*;white;black;short;Alexandra;Lourenço
377;M;25;19980615;Luxembourg;Luxembourg;Canton Luxembourg;4460.0;199806156677*;white;brown;long;Luc;De Backer
378;M;46;19770831;Luxembourg;Schifflange;Canton Esch;2042.0;197708314401*;black;black;medium;Mike;Charrier
379;F;54;19690817;Portugal;Luxembourg;Canton Luxembourg;2960.0;196908178964*;white;blond;short;Alice;Campos
380;F;69;19541124;Italy;Bettembourg;Canton Esch;0.0;195411240896*;white;black;long;Maria;Ricci
381;M;41;19820122;Italy;Useldange;Canton Redange;6396.0;198201224108*;white;gray;short;Domenico;Toninelli
382;M;50;19730310;Luxembourg;Luxembourg;Canton Luxembourg;4460.0;197303108038*;white;black;long;Christophe;Lefort
383;M;40;19830401;Luxembourg;Ettelbruck;Canton Diekirch;4362.0;198304010120*;latino;gray;short;Michel;Vaes
384;F;65;19581218;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195812180520*;white;gray;medium;Els;Prévost
385;M;50;19730114;Luxembourg;Luxembourg;Canton Luxembourg;1960.0;197301148625*;black;black;medium;Maurice;Meeus
386;F;41;19820710;Luxembourg;Schifflange;Canton Esch;5542.0;198207107594*;white;gray;long;Liliane;Leconte
387;M;77;19461017;United Kingdom;Lorentzweiler;Canton Mersch;0.0;194610179584*;white;gray;medium;Connor;Smith
388;F;40;19830122;Luxembourg;Parc Hosingen;Canton Clervaux;5585.0;198301220431*;white;gray;long;Kathleen;Gilles
389;F;86;19370219;Romania;Strassen;Canton Luxembourg;0.0;193702198650*;white;gray;short;Clementina;Dobre
390;M;55;19680315;Luxembourg;Esch-sur-Sûre;Canton Wiltz;3524.0;196803150543*;white;gray;long;Ibrahim;Hermans
391;F;77;19460110;Luxembourg;Bertrange;Canton Luxembourg;0.0;194601106015*;latino;gray;short;Liesbeth;Verhelst
392;M;21;20020824;Romania;Niederanven;Canton Luxembourg;2455.0;200208248087*;white;brown;short;Remus;Ababei
393;M;18;20050427;Luxembourg;Consdorf;Canton Echternach;8563.0;200504270642*;white;brown;long;Thibaut;Vercauteren
394;F;65;19580831;Luxembourg;Differdange;Canton Esch;0.0;195808315248*;white;blond;long;Anaïs;Van den Bergh
395;F;41;19820503;Luxembourg;Mertert;Canton Grevenmacher;3508.0;198205030390*;white;red;short;Huguette;Diaz
396;M;30;19930210;Portugal;Wincrange;Canton Clervaux;1032.0;199302108411*;white;red;medium;António;Cardoso
397;F;68;19550120;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195501204462*;white;brown;short;Maria;Verstraete
398;M;52;19710123;Portugal;Luxembourg;Canton Luxembourg;2460.0;197101232418*;white;brown;short;Joel;Silva
399;F;27;19960913;Luxembourg;Sanem;Canton Esch;5642.0;199609133572*;latino;gray;long;Adrienne;Timmerman
400;M;45;19780618;Luxembourg;Niederanven;Canton Luxembourg;4455.0;197806180394*;white;brown;long;Joseph;Laporte
401;F;67;19560813;Luxembourg;Contern;Canton Luxembourg;0.0;195608139483*;white;black;medium;Amelie;Michielsen
402;F;19;20040513;Portugal;Manternach;Canton Grevenmacher;3880.0;200405133131*;white;black;short;Gabriela;Ribeiro
403;F;41;19820422;Luxembourg;Dudelange;Canton Esch;12453.0;198204223781*;white;red;short;Marine;David
404;F;22;20011001;Luxembourg;Luxembourg;Canton Luxembourg;1960.0;200110012496*;white;red;medium;Hortense;Casier
405;F;31;19920926;Luxembourg;Differdange;Canton Esch;2968.0;199209261263*;white;blond;short;Bernadette;De Smet
406;M;58;19650301;France;Kehlen;Canton Capellen;5207.0;196503018906*;white;gray;long;Thibault;Boyer
407;F;41;19820522;Luxembourg;Kopstal;Canton Capellen;7392.0;198205227214*;white;gray;long;Hélène;Schepens
408;F;63;19600205;France;Pétange;Canton Esch;3028.0;196002057667*;white;gray;short;Margaret;Traore
409;F;87;19360503;France;Sanem;Canton Esch;0.0;193605034169*;white;gray;short;Louise;Noël
410;M;39;19841102;France;Luxembourg;Canton Luxembourg;6960.0;198411022851*;white;brown;medium;Alexandre;Rousseau
411;F;28;19950116;Portugal;Luxembourg;Canton Luxembourg;2960.0;199501169045*;white;brown;medium;Renata;Lourenço
412;F;60;19630913;France;Luxembourg;Canton Luxembourg;15460.0;196309138982*;black;gray;medium;Nathalie;Bouvier
413;F;58;19651010;Luxembourg;Differdange;Canton Esch;3968.0;196510103108*;white;blond;short;Luce;Blanc
414;F;25;19980819;Portugal;Differdange;Canton Esch;7468.0;199808193955*;white;blond;medium;Pilar;Coelho
415;F;38;19850105;Luxembourg;Luxembourg;Canton Luxembourg;5960.0;198501054655*;latino;brown;short;Lisa;Texier
416;M;59;19641220;Luxembourg;Schifflange;Canton Esch;6542.0;196412207964*;white;black;short;Geert;Faivre
417;F;27;19960527;Luxembourg;Diekirch;Canton Diekirch;2890.0;199605274216*;white;black;short;Pauline;De Vos
418;F;69;19540525;Luxembourg;Esch-sur-Alzette;Canton Esch;0.0;195405259199*;latino;gray;long;Claire;Ferreira
419;F;31;19920903;Luxembourg;Luxembourg;Canton Luxembourg;5460.0;199209034121*;white;black;short;Éléonore;Bonnet
420;F;32;19910528;Luxembourg;Bettembourg;Canton Esch;3096.0;199105283415*;white;black;medium;Maggie;De Pauw
421;F;65;19580106;France;Luxembourg;Canton Luxembourg;0.0;195801062739*;black;black;short;Zoé;Daniel
422;M;34;19890305;Belgium;Luxembourg;Canton Luxembourg;4960.0;198903054596*;white;black;long;Maarten;Casteleyn
423;M;65;19580211;Luxembourg;Dudelange;Canton Esch;0.0;195802119803*;white;gray;long;Michaël;Duhamel
424;M;34;19890629;Luxembourg;Weiswampach;Canton Clervaux;2012.0;198906291424*;white;gray;medium;Jules;Berthelot
425;M;50;19730812;Luxembourg;Schifflange;Canton Esch;2542.0;197308125172*;white;red;medium;Christophe;Pottier
426;F;63;19600703;Sweden;Luxembourg;Canton Luxembourg;3960.0;196007033283*;white;black;long;Gertrud;Hellström
427;F;26;19970209;Italy;Schieren;Canton Diekirch;3719.0;199702092633*;white;black;short;Concetta;Pellico
428;F;54;19691114;Portugal;Wiltz;Canton Wiltz;2833.0;196911141280*;white;black;medium;Letícia;Henriques
429;F;47;19760526;Luxembourg;Stadtbredimus;Canton Remich;11568.0;197605261246*;white;brown;medium;Monique;Decoster
430;F;53;19701208;Italy;Wiltz;Canton Wiltz;4833.0;197012086808*;white;red;long;Bianca;Argentero
431;F;29;19940528;Luxembourg;Schuttrange;Canton Luxembourg;16544.0;199405280912*;black;black;medium;Jacqueline;Bertrand
432;M;44;19790910;Luxembourg;Waldbillig;Canton Echternach;3550.0;197909106550*;black;brown;short;Mohamed;Blondel
433;M;83;19401206;Belgium;Sanem;Canton Esch;0.0;194012064694*;white;gray;short;Petrus;Simons
434;F;36;19870103;France;Luxembourg;Canton Luxembourg;1460.0;198701038538*;black;brown;medium;Marcelle;Normand
435;F;36;19870910;Luxembourg;Bourscheid;Canton Diekirch;5097.0;198709109559*;white;blond;medium;Édith;Aerts
436;M;61;19620211;Luxembourg;Luxembourg;Canton Luxembourg;1960.0;196202118402*;white;gray;long;Brecht;Engels
437;M;58;19650415;France;Mamer;Canton Capellen;6201.0;196504155708*;white;black;medium;Jean;Maillet
438;F;27;19960210;Luxembourg;Hesperange;Canton Luxembourg;2154.0;199602107103*;latino;gray;short;Élise;Poulain
439;F;80;19430708;Belgium;Esch-sur-Alzette;Canton Esch;0.0;194307080997*;white;black;medium;Lindsay;Vanhoutte
440;M;89;19340301;France;Dudelange;Canton Esch;0.0;193403017427*;black;gray;medium;Jacques;Rousset
441;M;23;20000502;Luxembourg;Dudelange;Canton Esch;2953.0;200005025206*;white;red;long;Honoré;Rogiers
442;M;72;19511026;United Kingdom;Lintgen;Canton Mersch;0.0;195110266423*;white;gray;medium;Mark;Williams
443;F;49;19740712;Luxembourg;Clervaux;Canton Clervaux;2979.0;197407129568*;white;gray;short;Sophie;De Ridder
444;F;62;19611202;Luxembourg;Luxembourg;Canton Luxembourg;960.0;196112029709*;white;black;long;Stéphanie;Thijs
445;F;31;19920422;Luxembourg;Dudelange;Canton Esch;4953.0;199204227340*;latino;black;long;Arnaude;Auger
446;M;54;19690121;Luxembourg;Luxembourg;Canton Luxembourg;16460.0;196901211547*;white;brown;long;Kobe;Colin
447;M;38;19850801;Luxembourg;Strassen;Canton Luxembourg;3087.0;198508011496*;white;brown;short;Daniel;Meyer
448;F;29;19940803;Luxembourg;Luxembourg;Canton Luxembourg;7960.0;199408037770*;white;red;medium;Marina;Lejeune
449;M;74;19490916;Luxembourg;Roeser;Canton Esch;0.0;194909165808*;white;gray;long;Yves;Delmas
450;M;28;19950630;Luxembourg;Niederanven;Canton Luxembourg;6455.0;199506304526*;white;black;short;Emmanuel;Regnier
451;F;61;19620120;Luxembourg;Differdange;Canton Esch;2468.0;196201204358*;white;gray;short;Tessa;Gevaert
452;F;39;19840228;France;Luxembourg;Canton Luxembourg;6460.0;198402280740*;white;black;medium;Océane;Mendès
453;M;80;19430714;France;Mersch;Canton Mersch;0.0;194307149631*;white;gray;long;Thibault;Faure
454;M;40;19830219;Italy;Roeser;Canton Esch;4132.0;198302191488*;white;gray;long;Lazzaro;Parmitano
455;M;47;19760131;Luxembourg;Mersch;Canton Mersch;2555.0;197601313706*;white;black;medium;Wouter;Marin
456;F;32;19910308;France;Differdange;Canton Esch;3968.0;199103088999*;black;brown;long;Anne;Lévêque
457;F;54;19690323;Luxembourg;Kayl;Canton Esch;5616.0;196903231386*;latino;black;short;Rosette;Godard
458;M;64;19590615;Luxembourg;Luxembourg;Canton Luxembourg;15460.0;195906150509*;white;blond;medium;Noël;Léger
459;M;48;19750425;Luxembourg;Diekirch;Canton Diekirch;2890.0;197504258019*;white;gray;short;Richard;Le Goff
460;M;25;19980812;France;Käerjeng;Canton Capellen;9141.0;199808123979*;white;black;long;Xavier;Regnier
461;F;60;19631018;Luxembourg;Sanem;Canton Esch;3642.0;196310184090*;white;gray;long;Petra;Janssens
462;F;42;19811202;Luxembourg;Mersch;Canton Mersch;4555.0;198112021936*;white;gray;medium;Ginette;De Smet
463;F;73;19500527;Portugal;Bettembourg;Canton Esch;0.0;195005272750*;white;gray;long;Salomé;Fonseca
464;F;21;20021125;Luxembourg;Walferdange;Canton Luxembourg;5645.0;200211250024*;white;red;long;Magda;Troch
465;M;52;19710120;United States of Ameria;Strassen;Canton Luxembourg;5087.0;197101204648*;white;red;medium;Jonathan;Carlson
466;M;71;19521221;Luxembourg;Luxembourg;Canton Luxembourg;0.0;195212219544*;white;gray;medium;Aimé;Hardy
467;M;34;19891229;Luxembourg;Pétange;Canton Esch;7028.0;198912292338*;white;black;short;Georges;Heylen
468;F;69;19540810;Portugal;Remich;Canton Remich;0.0;195408104661*;white;gray;medium;Emília;Nunes
469;F;52;19710418;Italy;Luxembourg;Canton Luxembourg;10460.0;197104189369*;white;gray;medium;Germana;Grifeo
